CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,MALE,19.0,15.0,39.0
2,MALE,21.0,15.0,81.0
3, female ,20.0,16.0,6.0
4, female ,23.0,16.0,
5, female ,31.0,17.0,40.0
6, female ,22.0,17.0,76.0
7, female ,35.0,18.0,6.0
8, female ,23.0,18.0,94.0
9,MALE,64.0,19.0,3.0
10, female ,30.0,19.0,72.0
11,MALE,67.0,,14.0
12, female ,35.0,19.0,99.0
13, female ,58.0,20.0,15.0
14, female ,24.0,20.0,77.0
15,MALE,37.0,20.0,13.0
16,MALE,,20.0,79.0
17, female ,35.0,21.0,35.0
18,MALE,20.0,21.0,66.0
19,MALE,52.0,23.0,29.0
20, female ,35.0,23.0,98.0
21,MALE,,24.0,35.0
22,MALE,25.0,24.0,73.0
23, Female,46.0,25.0,5.0
24,MALE,31.0,,
25, female ,54.0,28.0,14.0
26,MALE,29.0,28.0,82.0
27, female ,45.0,28.0,32.0
28,MALE,35.0,28.0,61.0
29, female ,40.0,29.0,
30, female ,23.0,29.0,87.0
31,MALE,,30.0,4.0
32, female ,21.0,30.0,73.0
33,MALE,53.0,33.0,4.0
34,MALE,18.0,33.0,92.0
35, female ,49.0,33.0,14.0
36, female ,21.0,33.0,81.0
37, female ,42.0,34.0,17.0
38, female ,30.0,,73.0
39, female ,36.0,37.0,26.0
40, female ,20.0,37.0,75.0
41, female ,65.0,38.0,35.0
42,MALE,24.0,38.0,92.0
43,MALE,48.0,39.0,36.0
44, female ,31.0,39.0,61.0
45, female ,49.0,39.0,28.0
46, female ,,39.0,65.0
47, female ,50.0,40.0,55.0
48, female ,27.0,40.0,47.0
49, female ,29.0,40.0,42.0
50, female ,31.0,40.0,42.0
51, female ,49.0,42.0,52.0
52,MALE,33.0,42.0,60.0
53, female ,31.0,43.0,54.0
54,MALE,59.0,43.0,60.0
55, female ,50.0,43.0,
56,MALE,47.0,43.0,41.0
57, female ,51.0,,50.0
58,MALE,69.0,44.0,46.0
59, female ,27.0,46.0,51.0
60, Female,53.0,46.0,46.0
61,MALE,70.0,46.0,56.0
62,MALE,19.0,46.0,55.0
63, female ,67.0,,52.0
64, female ,54.0,47.0,59.0
65,MALE,63.0,48.0,51.0
66,MALE,18.0,48.0,59.0
67, female ,43.0,48.0,50.0
68, female ,68.0,,48.0
69,MALE,19.0,48.0,59.0
70, female ,,48.0,47.0
71,MALE,70.0,49.0,55.0
72, female ,47.0,49.0,42.0
73, female ,60.0,50.0,49.0
74, female ,60.0,50.0,
75,MALE,59.0,54.0,47.0
76,MALE,26.0,54.0,54.0
77, Female,45.0,54.0,53.0
78,MALE,40.0,54.0,48.0
79, female ,23.0,54.0,52.0
80, female ,49.0,,
81,MALE,57.0,,51.0
82,MALE,38.0,54.0,55.0
